0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:10 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:10 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:11 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49171
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:11 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:11 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:50 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49218
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:50 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:50 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49218
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49218
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:15:53 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:56 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49138
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:56 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:56 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:58 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49138
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:58 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:58 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:59 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 49138
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:59 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:19:59 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:22 +0700] "GET /BOOKINGTOUR/themdiemluutru.htm HTTP/1.1" 200 48398
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:22 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:22 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:28 +0700] "POST /BOOKINGTOUR/insertDiemDuLich.htm HTTP/1.1" 200 45001
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:28 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:25:28 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:26:36 +0700] "POST /BOOKINGTOUR/insertDiemDuLich.htm HTTP/1.1" 200 45001
0:0:0:0:0:0:0:1 - - [23/May/2023:12:26:36 +0700] "GET /BOOKINGTOUR/assets/css/trangchu.css HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [23/May/2023:12:26:36 +0700] "GET /BOOKINGTOUR/assets/css/all.css HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [23/May/2023:12:26:39 +0700] "POST /BOOKINGTOUR/insertDiemDuLich.htm HTTP/1.1" 200 47143
